GIFNOCK,256375,659125
LLGNNCH,256400,201200
WMWD,256505,657973
SHWLNDS,256510,661930
PRTHMDG,256630,339190
MAXWLPK,256770,662870
SUMRSTN,256817,669675
PLKSHWE,256835,661410
CRSMYLF,257030,662440
LNDW,257030,328630
PRTHHBR,257120,338410
EXHIBTC,257177,665510
LAMBH,257365,669490
CLRKSTN,257410,657460
LNSD,257420,661000
BANGOR,257500,371600
MUIREND,257562,659695
PLKLHDW,257580,662840
CULRAIN,257680,894770
PSRN,257800,328000
LBDR,257900,326900
ANDRSTN,257960,665300
INVRSHN,257985,895356
PLKLHDE,258040,663200
CHRNGXG,258050,665830
CHAPLTN,258075,126080
HRLC,258100,331400
QUNPARK,258135,662555
DYFRYNA,258170,323330
BUSBY,258220,656430
TYWYN,258260,300700
LAIRG,258265,903922
MTFL,258455,661570
CCRT,258460,660580
ABRYSTH,258500,281600
TALB,258660,321510
GLGCLL,258737,665139
CROSSHL,258750,662310
PNTADLS,258790,204080
GLGC,258794,665257
POSILPK,258850,668640
THAL,258870,655110
LYNGRIL,258920,309720
GLGQHL,259190,665515
ARGYLST,259220,664970
OKHMPTN,259220,94430
GOWERTN,259240,196400
GLGQLL,259241,665531
KGPK,259345,660760
ASFIELD,259427,668485
LNAB,259870,318010
GLGHST,259890,665200
MINFORD,259940,338560
MINFFR,259990,338530
ARDGAY,260030,890446
TYGWYN,260260,334950
CFFT,260480,660580
SPRNGBN,260570,667670
ABDVY,260600,296000
BRIDGTN,260732,663992
HARMYRS,260800,654300
BLGRVE,260865,664850
BORTH,260900,290100
UMBRLGH,260950,123800
BSHB,261000,670100
TLSRNAU,261000,336100
BNHL,261025,667160
BRMOUTH,261200,315900
DLMRNOK,261230,663210
PRHN,261320,338820
RTHGLEN,261540,661920
DUKEST,261580,665020
FRBN,261600,312900
ALXPD,261747,665542
NWCMNCK,261780,614260
LNDC,261800,337900
LLDYBIE,262000,215500
BRSDE,262100,660380
PENHELG,262100,296150
PNTYFYN,262300,210800
AMMANFD,262400,212700
SAMPCRT,262670,98535
MFAM,262800,314100
FFAIRFC,262900,221200
PRTSMTA,263100,119320
EKILBRD,263310,654670
LLDEILO,263350,222620
DALWHIN,263420,784900
CNTY,263725,664555
CMBSLNG,263950,660620
KRKH,264300,659975
IVYBDGE,264745,56570
SHTLSTN,264880,664370
CARMYLE,264930,662230
TANY,264965,341560
LENZIE,265500,671900
SWANSEA,265700,193600
ALNESS,266000,869400
STEPPS,266210,668405
KNYMPTN,266212,116910
NWTL,266450,660450
MNTVRNN,266485,662835
IVRNESS,266788,845473
GARROWH,266800,664500
BALISTN,267750,663275
LANFRFC,267800,375200
ESHS,268210,664960
EGGESFD,268230,111480
BLANTYR,269265,657975
UDNGSTN,269370,660890
DOVYJN,269690,298020
LLNSMLT,269740,197540
LLGADOG,269960,228550
BLAENAU,269984,345894
GRTCSH,270029,667790
BRGDDIE,270270,663955
IVRGRD,270443,868656
HAMLTNW,271220,655860
ROMANBG,271270,351410
LLWRDA,271500,231000
NWTM,271580,798450
PNMNMWR,271821,376557
KRKWOOD,271870,664230
HAMLTNC,272200,655200
BLAIRHL,272230,665585
SKEWEN,272380,197460
ROGART,272500,901980
LAPFORD,272655,107950
COATBDC,272930,665125
CROY,272980,675500
COATBDS,273170,665600
BLSHL,273245,660055
KRKC,273500,612300
WHIFLET,273730,664120
DLWYDLN,273740,352190
BRITFRY,274200,194800
CHTLRT,274320,654250
MCHYNLT,274480,301320
COATDYK,274620,665280
BGLAN,274700,192300
MOCHARD,275000,105100
